mentionType,mentions,man,bran,idx,x,y,surfaceBadge,surfaceName,surfaceLetter,Manufacturer,Brand
kodak athena G,"[{'words': 'Top tonal quality and rich warm tones give this paper a niche of its own. Professionals prize it for fine portrait work and other prints of top calibre. Amateurs who make reasonably large negatives should test its potentialities. For extra warmth, after-tone Athena in Kodak Selenium Toner. Cream white stock tint, fine-grained texture, lustre sheen.', 'citation': 'Popular Photography, June 1951, page 99', 'imgurl': 'scans/image00099.jpg'}]",kodak,athena G,93,3,18,1,Kodak G,G,Kodak,Athena
kodak athena Y,"[{'words': 'Top tonal quality and rich warm tones give this paper a niche of its own. Professionals prize it for fine portrait work and other prints of top calibre. Amateurs who make reasonably large negatives should test its potentialities. For extra warmth, after-tone Athena in Kodak Selenium Toner. Cream white stock tint, silk texture, lustre sheen.', 'citation': 'Popular Photography, June 1951, page 99', 'imgurl': 'scans/image00099.jpg'}]",kodak,athena Y,94,4,18,1,Kodak Y,Y,Kodak,Athena
kodak portrait proof R,"[{'words': 'This is a superb paper, with wider usefulness than its name implies. It yields a soft, luminous image—ideal for high-key, delicate subjects and atmospheric landscapes. It requires a negative whose shadows have full detail. Rough Tweed surface and warm image tone are fine for big prints; and the price is low. One contrast only, for normal negatives. Cream white stock tint, tweed texture, lustre sheen.', 'citation': 'Popular Photography, June 1951, page 100', 'imgurl': 'scans/image00100.jpg'}]",kodak,portrait proof R,95,0,19,1,Kodak R,R,Kodak,Portrait Proof
kodak platino F,"[{'words': ""If you need a fine warm-tone paper and Kodak Opal is too slow—by all means choose Platino. Its rich emulsion yields prints of magnificent tonal range and quality; three contrasts accommodate most negatives; and there's a good choice of surfaces. For extra warmth, after-tone it with Kodak Brown Toner to a rich chocolate brown, This paper is gaining wide acceptance. White stock tint, smooth texture, glossy sheen."", 'citation': 'Popular Photography, June 1951, page 100', 'imgurl': 'scans/image00100.jpg'}, {'words': ""Kodak Platino Paper is a rich 'warm black' paper, about half as fast as Kodabromide, and about three times as fast as Kodak Opal. It offers a tempting six-point combination of qualities—tonal richness, good working speed, three contrasts to accommodate most negatives, good choice of stock tints and surfaces, ease of manipulation, and adaptability to after-toning for extra warmth. Crisp, sparkling highlights and deep, velvety shadows—product of a thick, silver-rich emulsion. Natural warmth without special development—a true warm black that teams beautifully with cream white and old ivory paper tints. And speed that permits you to expose big 14x17 and 16x20 exhibition prints without counting “thousand-one, thousand-two” all night. Fits Every Subject. What subjects go best on Platino? Any subjects. Pick Platino F—glossy, pure white stock—for news, record, reproduction, and scientific prints."", 'citation': 'Popular Photography, September 1951, page 89', 'imgurl': 'scans/image00089.jpg'}]",kodak,platino F,96,1,19,1,Kodak F,F,Kodak,Platino
kodak platino G,"[{'words': ""If you need a fine warm-tone paper and Kodak Opal is too slow—by all means choose Platino. Its rich emulsion yields prints of magnificent tonal range and quality; three contrasts accommodate most negatives; and there's a good choice of surfaces. For extra warmth, after-tone it with Kodak Brown Toner to a rich chocolate brown, This paper is gaining wide acceptance. Cream white stock tint, fine-grained texture, lustre sheen."", 'citation': 'Popular Photography, June 1951, page 100', 'imgurl': 'scans/image00100.jpg'}, {'words': ""Kodak Platino Paper is a rich 'warm black' paper, about half as fast as Kodabromide, and about three times as fast as Kodak Opal. It offers a tempting six-point combination of qualities—tonal richness, good working speed, three contrasts to accommodate most negatives, good choice of stock tints and surfaces, ease of manipulation, and adaptability to after-toning for extra warmth. Crisp, sparkling highlights and deep, velvety shadows—product of a thick, silver-rich emulsion. Natural warmth without special development—a true warm black that teams beautifully with cream white and old ivory paper tints. And speed that permits you to expose big 14x17 and 16x20 exhibition prints without counting “thousand-one, thousand-two” all night. Fits Every Subject. What subjects go best on Platino? Any subjects. Choose Platino G—cream white, fine grained, lustre-for most exhibition work, and especially for high-ratio enlargements from small negatives. The fine-grained, delicately pebbled surface helps minimize film grain, with no material loss of image detail."", 'citation': 'Popular Photography, September 1951, page 89', 'imgurl': 'scans/image00089.jpg'}]",kodak,platino G,97,2,19,1,Kodak G,G,Kodak,Platino
kodak platino P,"[{'words': ""If you need a fine warm-tone paper and Kodak Opal is too slow—by all means choose Platino. Its rich emulsion yields prints of magnificent tonal range and quality; three contrasts accommodate most negatives; and there's a good choice of surfaces. For extra warmth, after-tone it with Kodak Brown Toner to a rich chocolate brown, This paper is gaining wide acceptance. Old ivory stock tint, fine-grained texture, lustre sheen."", 'citation': 'Popular Photography, June 1951, page 100', 'imgurl': 'scans/image00100.jpg'}, {'words': ""Kodak Platino Paper is a rich 'warm black' paper, about half as fast as Kodabromide, and about three times as fast as Kodak Opal. It offers a tempting six-point combination of qualities—tonal richness, good working speed, three contrasts to accommodate most negatives, good choice of stock tints and surfaces, ease of manipulation, and adaptability to after-toning for extra warmth. Crisp, sparkling highlights and deep, velvety shadows—product of a thick, silver-rich emulsion. Natural warmth without special development—a true warm black that teams beautifully with cream white and old ivory paper tints. And speed that permits you to expose big 14x17 and 16x20 exhibition prints without counting “thousand-one, thousand-two” all night. Fits Every Subject. What subjects go best on Platino? Any subjects. Choose Platino P-old ivory, fine grained, lustre—for most exhibition work, and especially for high-ratio enlargements from small negatives. The fine-grained, delicately pebbled surface helps minimize film grain, with no material loss of image detail."", 'citation': 'Popular Photography, September 1951, page 89', 'imgurl': 'scans/image00089.jpg'}]",kodak,platino P,98,3,19,1,Kodak P,P,Kodak,Platino
kodak kodabromide A,"[{'words': 'Most popular of all Kodak enlarging papers for general use. Has the high speed and tonal characteristics of Resisto Rapid—rich blacks and clear sparkling whites—with a wider choice of contrast grades and surfaces. High exposure and development latitude make it easy-to-handle; physically hardened emulsion allows fast handling. White stock tint, smooth texture, lustre sheen. Folding stock.', 'citation': 'Popular Photography, June 1951, page 100', 'imgurl': 'scans/image00100.jpg'}]",kodak,kodabromide A,99,4,19,1,Kodak A,A,Kodak,Kodabromide
kodak kodabromide F,"[{'words': 'Most popular of all Kodak enlarging papers for general use. Has the high speed and tonal characteristics of Resisto Rapid—rich blacks and clear sparkling whites—with a wider choice of contrast grades and surfaces. High exposure and development latitude make it easy-to-handle; physically hardened emulsion allows fast handling. White stock tint, smooth texture, glossy sheen.', 'citation': 'Popular Photography, June 1951, page 100', 'imgurl': 'scans/image00100.jpg'}, {'words': 'glossy sheen', 'citation': 'Popular Photography, January 1953, page 73', 'imgurl': 'scans/image00073.jpg'}, {'words': '...desired cool objectivity with maximum detail. To get it, he chose glossy Kodabromide F; its pure white stock tint, glass-smooth surface texture, and cool-to-neutral image tone all contributed to the impression he desired this print to convey.', 'citation': 'Popular Photography, March 1953, page 82', 'imgurl': 'scans/image00082.jpg'}, {'words': 'glossy', 'citation': 'Popular Photography, October 1953, page 93', 'imgurl': 'scans/image00093.jpg'}, {'words': ""Finally, we asked our photoengraver. After all, he has the practical problem of making good halftone plates from the print. Good clean blacks. Glossy sheen. Lots of snap. Don’t give me dull-surfaced prints or I'll have to grease ’em."", 'citation': 'Popular Photography, November 1954, page 90', 'imgurl': 'scans/image00090.jpg'}]",kodak,kodabromide F,100,0,20,1,Kodak F,F,Kodak,Kodabromide
kodak kodabromide N,"[{'words': 'Most popular of all Kodak enlarging papers for general use. Has the high speed and tonal characteristics of Resisto Rapid—rich blacks and clear sparkling whites—with a wider choice of contrast grades and surfaces. High exposure and development latitude make it easy-to-handle; physically hardened emulsion allows fast handling. White stock tint, smooth texture, lustre sheen.', 'citation': 'Popular Photography, June 1951, page 100', 'imgurl': 'scans/image00100.jpg'}, {'words': 'smooth texture, lustre sheen', 'citation': 'Popular Photography, October 1953, page 93', 'imgurl': 'scans/image00093.jpg'}]",kodak,kodabromide N,101,1,20,1,Kodak N,N,Kodak,Kodabromide
kodak mural R,"[{'words': 'Want some really big prints, or the interesting Tweed surface in a fast paper? Kodak Mural is designed for commercial studios that make wall-size murals—but it comes as small as 8x10, as well as in 40-inch-wide rolls. The warm tone is pleasing, and it’s a tough paper—made for fast, rough handling without damage. Well worth a try, in any size you can handle. Cream white stock tint, tweed texture, lustre sheen.', 'citation': 'Popular Photography, June 1951, page 100', 'imgurl': 'scans/image00100.jpg'}, {'words': 'for photomurals', 'citation': 'Popular Photography, January 1953, page 73', 'imgurl': 'scans/image00073.jpg'}, {'words': 'for photomurals', 'citation': 'Popular Photography, March 1953, page 81', 'imgurl': 'scans/image00081.jpg'}, {'words': 'tweed texture, lustre sheen', 'citation': 'Popular Photography, October 1953, page 93', 'imgurl': 'scans/image00093.jpg'}]",kodak,mural R,102,2,20,1,Kodak R,R,Kodak,Mural
kodak opal B,"[{'words': 'For exhibition work, and enlargements of the finest quality, Kodak Opal is the top choice of salon leaders. Tonal quality is superb; flexibility of manipulation very wide; speed much lower than Kodabromide. Available in double weight only, in one contrast grade (for normal negatives), and all the following surfaces. Cream white stock tint, smooth texture, lustre sheen.', 'citation': 'Popular Photography, June 1951, page 100', 'imgurl': 'scans/image00100.jpg'}, {'words': 'smooth texture, lustre sheen', 'citation': 'Popular Photography, October 1953, page 93', 'imgurl': 'scans/image00093.jpg'}]",kodak,opal B,103,3,20,1,Kodak B,B,Kodak,Opal
kodak opal C,"[{'words': 'For exhibition work, and enlargements of the finest quality, Kodak Opal is the top choice of salon leaders. Tonal quality is superb; flexibility of manipulation very wide; speed much lower than Kodabromide. Available in double weight only, in one contrast grade (for normal negatives), and all the following surfaces. Cream white stock tint, smooth texture, matte sheen.', 'citation': 'Popular Photography, June 1951, page 100', 'imgurl': 'scans/image00100.jpg'}, {'words': 'smooth texture, matte sheen', 'citation': 'Popular Photography, October 1953, page 93', 'imgurl': 'scans/image00093.jpg'}]",kodak,opal C,104,4,20,1,Kodak C,C,Kodak,Opal
kodak opal G,"[{'words': 'For exhibition work, and enlargements of the finest quality, Kodak Opal is the top choice of salon leaders. Tonal quality is superb; flexibility of manipulation very wide; speed much lower than Kodabromide. Available in double weight only, in one contrast grade (for normal negatives), and all the following surfaces. Cream white stock tint, fine-grained texture, lustre sheen.', 'citation': 'Popular Photography, June 1951, page 100', 'imgurl': 'scans/image00100.jpg'}, {'words': 'For exhibition, Mr. Mansfield made his salon prints of “Minnow Catching” on Kodak Opal G, the long-time favorite of all salon papers.', 'citation': 'Popular Photography, January 1953, page 73', 'imgurl': 'scans/image00073.jpg'}, {'words': 'All his exhibition prints (except glossies) are on Opal—because it retains so much of the negative’s tonal range, offers many surfaces to fit the moods of various pictures, and can readily be toned cool or warm to enhance a pictorial mood.', 'citation': 'Popular Photography, March 1953, page 82', 'imgurl': 'scans/image00082.jpg'}, {'words': 'The rich darks and delicate light tones of the subject demanded a paper of fullest tone scale, plus the ability to separate closely spaced tones at both ends of the scale—and Opal excels on both these counts.', 'citation': 'Popular Photography, March 1953, page 82', 'imgurl': 'scans/image00082.jpg'}, {'words': 'Its full scale, delicacy of gradation, luminous image quality, and complete reliability were the controlling factors. The favorite of all salon papers.', 'citation': 'Popular Photography, March 1953, page 82', 'imgurl': 'scans/image00082.jpg'}, {'words': 'Opal’s warmth, its magnificent tonal range and delicacy, its moderate speed and response to manipulation...', 'citation': 'Popular Photography, March 1953, page 81', 'imgurl': 'scans/image00081.jpg'}, {'words': 'fine-grained texture, lustre sheen...This delicately pebbled, moderate-sheen paper is the most popular of all surfaces for exhibition prints and general enlarging. The fine-grained surface subdues negative grain with no serious loss of detail.', 'citation': 'Popular Photography, October 1953, page 93', 'imgurl': 'scans/image00093.jpg'}, {'words': 'Fourth man is an old-timer...Gives me everything I want for practically every subject I like. I think I’d like this one gold-toned to a rich brown. Might even try a paper negative; get rid of some of the fine detail and work for broader masses. I like surface textures in a print, and Opal has them all.', 'citation': 'Popular Photography, November 1954, page 90', 'imgurl': 'scans/image00090.jpg'}]",kodak,opal G,105,0,21,1,Kodak G,G,Kodak,Opal
kodak opal H,"[{'words': 'For exhibition work, and enlargements of the finest quality, Kodak Opal is the top choice of salon leaders. Tonal quality is superb; flexibility of manipulation very wide; speed much lower than Kodabromide. Available in double weight only, in one contrast grade (for normal negatives), and all the following surfaces. Cream white stock tint, fine-grained texture, matte sheen.', 'citation': 'Popular Photography, June 1951, page 100', 'imgurl': 'scans/image00100.jpg'}, {'words': 'fine-grained texture, matte sheen', 'citation': 'Popular Photography, October 1953, page 93', 'imgurl': 'scans/image00093.jpg'}]",kodak,opal H,106,1,21,1,Kodak H,H,Kodak,Opal
kodak opal K,"[{'words': 'For exhibition work, and enlargements of the finest quality, Kodak Opal is the top choice of salon leaders. Tonal quality is superb; flexibility of manipulation very wide; speed much lower than Kodabromide. Available in double weight only, in one contrast grade (for normal negatives), and all the following surfaces. Cream white stock tint, fine-grained texture, high lustre sheen.', 'citation': 'Popular Photography, June 1951, page 100', 'imgurl': 'scans/image00100.jpg'}, {'words': 'fine-grained texture, high lustre sheen', 'citation': 'Popular Photography, October 1953, page 93', 'imgurl': 'scans/image00093.jpg'}]",kodak,opal K,107,2,21,1,Kodak K,K,Kodak,Opal
kodak opal L,"[{'words': 'For exhibition work, and enlargements of the finest quality, Kodak Opal is the top choice of salon leaders. Tonal quality is superb; flexibility of manipulation very wide; speed much lower than Kodabromide. Available in double weight only, in one contrast grade (for normal negatives), and all the following surfaces. Cream white stock tint, rough texture, lustre sheen.', 'citation': 'Popular Photography, June 1951, page 100', 'imgurl': 'scans/image00100.jpg'}, {'words': 'rough texture, lustre sheen', 'citation': 'Popular Photography, October 1953, page 93', 'imgurl': 'scans/image00093.jpg'}]",kodak,opal L,108,3,21,1,Kodak L,L,Kodak,Opal
kodak opal P,"[{'words': 'For exhibition work, and enlargements of the finest quality, Kodak Opal is the top choice of salon leaders. Tonal quality is superb; flexibility of manipulation very wide; speed much lower than Kodabromide. Available in double weight only, in one contrast grade (for normal negatives), and all the following surfaces. Old ivory stock tint, fine-grained texture, lustre sheen.', 'citation': 'Popular Photography, June 1951, page 100', 'imgurl': 'scans/image00100.jpg'}, {'words': 'fine-grained texture, lustre sheen...This delicately pebbled, moderate-sheen paper is the most popular of all surfaces for exhibition prints and general enlarging. The fine-grained surface subdues negative grain with no serious loss of detail.', 'citation': 'Popular Photography, October 1953, page 93', 'imgurl': 'scans/image00093.jpg'}]",kodak,opal P,109,4,21,1,Kodak P,P,Kodak,Opal
kodak opal R,"[{'words': 'For exhibition work, and enlargements of the finest quality, Kodak Opal is the top choice of salon leaders. Tonal quality is superb; flexibility of manipulation very wide; speed much lower than Kodabromide. Available in double weight only, in one contrast grade (for normal negatives), and all the following surfaces. Cream white stock tint, tweed texture, lustre sheen.', 'citation': 'Popular Photography, June 1951, page 100', 'imgurl': 'scans/image00100.jpg'}, {'words': 'tweed texture, lustre sheen', 'citation': 'Popular Photography, October 1953, page 93', 'imgurl': 'scans/image00093.jpg'}]",kodak,opal R,110,0,22,1,Kodak R,R,Kodak,Opal
kodak opal S,"[{'words': 'For exhibition work, and enlargements of the finest quality, Kodak Opal is the top choice of salon leaders. Tonal quality is superb; flexibility of manipulation very wide; speed much lower than Kodabromide. Available in double weight only, in one contrast grade (for normal negatives), and all the following surfaces. Old ivory stock tint, tweed texture, lustre sheen.', 'citation': 'Popular Photography, June 1951, page 100', 'imgurl': 'scans/image00100.jpg'}, {'words': 'tweed texture, lustre sheen', 'citation': 'Popular Photography, October 1953, page 93', 'imgurl': 'scans/image00093.jpg'}]",kodak,opal S,111,1,22,1,Kodak S,S,Kodak,Opal
kodak opal V,"[{'words': 'For exhibition work, and enlargements of the finest quality, Kodak Opal is the top choice of salon leaders. Tonal quality is superb; flexibility of manipulation very wide; speed much lower than Kodabromide. Available in double weight only, in one contrast grade (for normal negatives), and all the following surfaces. Cream white stock tint, suede texture, matte sheen.', 'citation': 'Popular Photography, June 1951, page 100', 'imgurl': 'scans/image00100.jpg'}, {'words': 'suede texture, matte sheen', 'citation': 'Popular Photography, October 1953, page 93', 'imgurl': 'scans/image00093.jpg'}]",kodak,opal V,112,2,22,1,Kodak V,V,Kodak,Opal
kodak opal W,"[{'words': 'For exhibition work, and enlargements of the finest quality, Kodak Opal is the top choice of salon leaders. Tonal quality is superb; flexibility of manipulation very wide; speed much lower than Kodabromide. Available in double weight only, in one contrast grade (for normal negatives), and all the following surfaces. Old ivory stock tint, suede texture, matte sheen.', 'citation': 'Popular Photography, June 1951, page 100', 'imgurl': 'scans/image00100.jpg'}, {'words': 'suede texture, matte sheen', 'citation': 'Popular Photography, October 1953, page 93', 'imgurl': 'scans/image00093.jpg'}]",kodak,opal W,113,3,22,1,Kodak W,W,Kodak,Opal
kodak opal Y,"[{'words': 'For exhibition work, and enlargements of the finest quality, Kodak Opal is the top choice of salon leaders. Tonal quality is superb; flexibility of manipulation very wide; speed much lower than Kodabromide. Available in double weight only, in one contrast grade (for normal negatives), and all the following surfaces. Cream white stock tint, silk texture, lustre sheen.', 'citation': 'Popular Photography, June 1951, page 100', 'imgurl': 'scans/image00100.jpg'}, {'words': 'silk texture, lustre sheen', 'citation': 'Popular Photography, October 1953, page 93', 'imgurl': 'scans/image00093.jpg'}, {'words': 'for hanging at home, silk texture, put more sparkle in the water', 'citation': 'Popular Photography, November 1954, page 90', 'imgurl': 'scans/image00090.jpg'}]",kodak,opal Y,114,4,22,1,Kodak Y,Y,Kodak,Opal
kodak opal Z,"[{'words': 'For exhibition work, and enlargements of the finest quality, Kodak Opal is the top choice of salon leaders. Tonal quality is superb; flexibility of manipulation very wide; speed much lower than Kodabromide. Available in double weight only, in one contrast grade (for normal negatives), and all the following surfaces. Old ivory stock tint, tapestry texture, lustre sheen.', 'citation': 'Popular Photography, June 1951, page 100', 'imgurl': 'scans/image00100.jpg'}, {'words': 'tapestry texture, lustre sheen', 'citation': 'Popular Photography, October 1953, page 93', 'imgurl': 'scans/image00093.jpg'}]",kodak,opal Z,115,0,23,1,Kodak Z,Z,Kodak,Opal
kodak resisto rapid N,"[{'words': ""Here's top speed, when you must turn out good enlargements in a hurry. Exposures are short, and the water-resistant base allows fast processing and ten-minute drying. Image tone is uniform through all contrast grades."", 'citation': 'Popular Photography, June 1951, page 100', 'imgurl': 'scans/image00100.jpg'}, {'words': ""Kodak Resisto Rapid N, for quick processing and physical toughness—it's fast as Kodabromide, but has a plastic-impregnated base that allows brief washing and ten-minute drying."", 'citation': 'Popular Photography, September 1951, page 89', 'imgurl': 'scans/image00089.jpg'}, {'words': 'For extra-fast printing and processing. It’s as fast as Kodabromide; and its special base allows washing and drying in ten minutes.', 'citation': 'Popular Photography, January 1953, page 73', 'imgurl': 'scans/image00073.jpg'}, {'words': 'quick processing, as fast as Kodabromide, the special water-resistant base permits washing and drying in ten minutes', 'citation': 'Popular Photography, October 1953, page 93', 'imgurl': 'scans/image00093.jpg'}, {'words': 'smooth texture, lustre sheen', 'citation': 'Popular Photography, October 1953, page 93', 'imgurl': 'scans/image00093.jpg'}]",kodak,resisto rapid N,116,1,23,1,Kodak N,N,Kodak,Resisto Rapid
kodak mural,"[{'words': 'Kodak Mural Paper, for big blowups.', 'citation': 'Popular Photography, September 1951, page 89', 'imgurl': 'scans/image00089.jpg'}, {'words': 'chlorobromide, enlarging, fast, tweed surface; especially designed for production of photographic murals', 'citation': 'Popular Photography, May 1953, page 144', 'imgurl': 'scans/image00144.jpg'}, {'words': 'For really big prints and a surface that minimizes grain, pick Kodak Mural Paper with its interesting rough Tweed surface. It’s designed for wall-size murals and comes in 42-inch-wide rolls, but you can also get it in sheets as small as 8 x 10 inches. One surface and 2 contrast grades only.', 'citation': 'Popular Photography, November 1953, page 81', 'imgurl': 'scans/image00081.jpg'}, {'words': 'for fine enlargements', 'citation': 'Popular Photography, November 1954, page 90', 'imgurl': 'scans/image00090.jpg'}]",kodak,mural,117,2,23,0,,,Kodak,Mural
dupont warmtone B,"[{'words': ""Du Pont Warmtone gives your prints a soft, warm tone... full of animation and sparkle. It enables you to obtain all the richness and vitality of your best negatives. You'll find it’s fun to make projection prints with Warmtone...a thrill to watch the luxurious image appear in your developer tray. You'll get real satisfaction from your work...be proud to exhibit your pictures...proud to keep them...proud to give them. Ideal for portraits, pastorals, landscapes and seascapes. You'll like Warmtone. It has exceptional speed and its extremely wide latitude permits maximum flexibility in making exposures. Excellent for coloring, tinting and toning. B White stock tint, Semi-Matt sheen, D. W."", 'citation': 'Popular Photography, October 1951, page 4', 'imgurl': 'scans/image00004.jpg'}, {'words': 'B, ‘white stock tint, semi-gloss sheen, double weight', 'citation': 'Popular Photography, November 1951, page 162', 'imgurl': 'scans/image00162.jpg'}]",dupont,warmtone B,118,3,23,1,Dupont B,B,Dupont,Warmtone
dupont warmtone BT,"[{'words': ""Du Pont Warmtone gives your prints a soft, warm tone... full of animation and sparkle. It enables you to obtain all the richness and vitality of your best negatives. You'll find it’s fun to make projection prints with Warmtone...a thrill to watch the luxurious image appear in your developer tray. You'll get real satisfaction from your work...be proud to exhibit your pictures...proud to keep them...proud to give them. Ideal for portraits, pastorals, landscapes and seascapes. You'll like Warmtone. It has exceptional speed and its extremely wide latitude permits maximum flexibility in making exposures. Excellent for coloring, tinting and toning. BT White stock tint, Semi-Gloss sheen, D. W."", 'citation': 'Popular Photography, October 1951, page 4', 'imgurl': 'scans/image00004.jpg'}, {'words': 'BT, white stock tint, semi-gloss sheen, double weight', 'citation': 'Popular Photography, November 1951, page 162', 'imgurl': 'scans/image00162.jpg'}]",dupont,warmtone BT,119,4,23,1,Dupont BT,BT,Dupont,Warmtone
dupont warmtone QL,"[{'words': ""Du Pont Warmtone gives your prints a soft, warm tone... full of animation and sparkle. It enables you to obtain all the richness and vitality of your best negatives. You'll find it’s fun to make projection prints with Warmtone...a thrill to watch the luxurious image appear in your developer tray. You'll get real satisfaction from your work...be proud to exhibit your pictures...proud to keep them...proud to give them. Ideal for portraits, pastorals, landscapes and seascapes. You'll like Warmtone. It has exceptional speed and its extremely wide latitude permits maximum flexibility in making exposures. Excellent for coloring, tinting and toning. QL Cream stock tint, Super Rough texture, Luster sheen, D.W."", 'citation': 'Popular Photography, October 1951, page 4', 'imgurl': 'scans/image00004.jpg'}, {'words': 'Perhaps you have a landscape with an old barn beside a winding road leading into distant hills. Du Pont Warmtone will recapture the warm glow that made such a scene a thing of beauty. Cream stock tint, super rough texture, luster sheen, will add the interesting texture that can make an outstanding print from a record-type negative', 'citation': 'Popular Photography, June 1954, page 8', 'imgurl': 'scans/image00008 (2).jpg'}]",dupont,warmtone QL,120,0,24,1,Dupont QL,QL,Dupont,Warmtone
gevaert diaversal,"[{'words': 'In simple terms, the paper is a two-layer material. The top layer is a light-sensitive emulsion that is very similar to Gevaert Novabrom. Below the emulsion is a “receiving paper” similar in structure and function to the paper on which Polaroid one-minute pictures are produced by a somewhat similar image-transfer process. The subsequent toning bath merely intensifies the positive image to a point where it is identifiable and aesthetically pleasing.', 'citation': 'Popular Photography, October 1951, page 95', 'imgurl': 'scans/image00095.jpg'}]",gevaert,diaversal,121,1,24,0,,,Gevaert,Diaversal
dupont varigam A,"[{'words': 'A, white stock tint, semi-matte sheen, single weight', 'citation': 'Popular Photography, November 1951, page 162', 'imgurl': 'scans/image00162.jpg'}]",dupont,varigam A,122,2,24,1,Dupont A,A,Dupont,Varigam
dupont varigam AL,"[{'words': 'AL, white stock tint, semi-matte sheen, document weight', 'citation': 'Popular Photography, November 1951, page 162', 'imgurl': 'scans/image00162.jpg'}]",dupont,varigam AL,123,3,24,1,Dupont AL,AL,Dupont,Varigam
dupont varigam B,"[{'words': 'B, white stock tint, semi-matte sheen, double weight', 'citation': 'Popular Photography, November 1951, page 162', 'imgurl': 'scans/image00162.jpg'}]",dupont,varigam B,124,4,24,1,Dupont B,B,Dupont,Varigam
dupont varigam BT,"[{'words': 'BT, white stock tint, semi-matte sheen, double weight', 'citation': 'Popular Photography, November 1951, page 162', 'imgurl': 'scans/image00162.jpg'}]",dupont,varigam BT,125,0,25,1,Dupont BT,BT,Dupont,Varigam
dupont varigam T,"[{'words': 'T, white stock tint, glossy sheen, double weight', 'citation': 'Popular Photography, November 1951, page 162', 'imgurl': 'scans/image00162.jpg'}]",dupont,varigam T,126,1,25,1,Dupont T,T,Dupont,Varigam
dupont warmtone QI,"[{'words': 'QI, cream stock tint, super rough texture, lustre sheen, double weight', 'citation': 'Popular Photography, November 1951, page 162', 'imgurl': 'scans/image00162.jpg'}]",dupont,warmtone QI,127,2,25,1,Dupont QI,QI,Dupont,Warmtone
kodak ektalure G,"[{'words': 'Here is an outstanding new paper for projection prints which combines warmth with speed. Approximately 2 times as fast as Kodak Opal Paper, it is easy and convenient to handle in the darkroom while providing prints that will be outstanding...in a salon...or in your own collection. Inherent resistance to blocking in the shadow areas gives your prints outstanding depth and clarity. Ektalure tones well in Kodak Selenium Toner to yield a rich, reddish brown color. When a golden brown color is preferred, the recommended toner is Kodak Gold Toner T-21. Kodak Ektalure Paper is available in one surface only: G—Cream-White stock tint, Fine-Grained texture, Lustre sheen—and normal contrast only.', 'citation': 'Popular Photography, November 1951, page 110', 'imgurl': 'scans/image00110.jpg'}, {'words': 'For Opal quality with twice the speed of Opal.', 'citation': 'Popular Photography, January 1953, page 73', 'imgurl': 'scans/image00073.jpg'}, {'words': 'For Opal quality with twice the speed of Opal...', 'citation': 'Popular Photography, March 1953, page 81', 'imgurl': 'scans/image00081.jpg'}, {'words': 'Opal-type quality but twice the speed', 'citation': 'Popular Photography, October 1953, page 93', 'imgurl': 'scans/image00093.jpg'}, {'words': 'fine-grained texture, lustre sheen...This delicately pebbled, moderate-sheen paper is the most popular of all surfaces for exhibition prints and general enlarging. The fine-grained surface subdues negative grain with no serious loss of detail.', 'citation': 'Popular Photography, October 1953, page 93', 'imgurl': 'scans/image00093.jpg'}, {'words': 'great warmth, faster than Opal, especially suitable for making enlargements to be hand colored.', 'citation': 'Popular Photography, March 1954, page 81', 'imgurl': 'scans/image00081.jpg'}]",kodak,ektalure G,128,3,25,1,Kodak G,G,Kodak,Ektalure
ansco cykora K,"[{'words': ""Don’t think for a minute that you're limiting yourself to a narrow range of print possibilities when you make Ansco Cykora the “standard” paper in your darkroom. Rather, your increased familiarity with Cykora will give you new freedom in getting exactly the qualities you want in your finished prints! That's partly because Cykora comes in a good selection of surfaces, ranging from the textured Kashmir to the popular Cykora Glossy which are all available in evenly spaced contrast grades that match most negatives. Bur most of all, it’s because Cykora’s rich emulsion gives you unusual exposure-development latitude, and is readily responsive to various developers and toners. For example, Cykora yields tones of pleasing warmth when developed in Ansco Ardol, while Vividol developer produces stronger, more neutral blacks. Both of these Ansco developers are laboratory-packaged for your convenience. Remember, the more familiar you become with Ansco Cykora, the happier you'll be with your prints! Textured texture."", 'citation': 'Popular Photography, January 1953, page 3', 'imgurl': 'scans/image00003.jpg'}, {'words': ""For star performances in the darkroom and in salon competition, you can’t do better than to choose Ansco Cykora Paper. Its high speed keeps exposures conveniently short, even when you're making really big enlargements with relatively slow enlargers. And once you’ve made your exposure, Cykora’s wide latitude goes to work to compensate for any minor exposure errors you may have made. The result is a print of brilliant gradation and warm image tones that’s especially appealing to your eye...and to the jury's, too! Supplied in a choice of contrasts. Kashmir texture."", 'citation': 'Popular Photography, March 1955, page 2', 'imgurl': 'scans/PopularPhotography_Mar55_002.jpg'}]",ansco,cykora K,129,4,25,1,Ansco K,K,Ansco,Cykora
